slug_categoria;nombre;descripcion;imagen;precio;esta_activo;fecha;hora;slug_ciudad
deportes;Maraton Anual de la Ciudad;Participa en nuestra maraton anual! Recorre las calles principales de la ciudad y disfruta de un evento deportivo inolvidable.;maraton-ciudad.jpg;0;VERDADERO;2024-03-15;08:00;ambato
conciertos;Concierto en Vivo: Banda de Rock Local;No te pierdas este increible concierto en vivo de nuestra banda de rock local! Ven y disfruta de una noche llena de musica y diversion.;concierto-rock-local.jpg;0;VERDADERO;2024-03-20;19:00;quito
ferias-exposiciones;Exposicion de Arte Moderno;Explora obras de arte moderno de artistas locales e internacionales en nuestra exposicion de arte. Una experiencia unica para los amantes del arte.;exposicion-arte-moderno.jpg;0;VERDADERO;2024-03-25;10:00;guayaquil
festivales;Festival de Gastronomia Internacional;Descubre sabores de todo el mundo en nuestro festival de gastronomia internacional! Disfruta de una variedad de platos exquisitos y experiencias culinarias unicas.;festival-gastronomia.jpg;0;VERDADERO;2024-04-05;12:00;manta
deportes;Clases de Yoga al Aire Libre;Unete a nuestras clases de yoga al aire libre y encuentra paz y equilibrio en medio de la naturaleza. Todas las edades y niveles de habilidad son bienvenidos.;clases-yoga-aire-libre.jpg;0;VERDADERO;2024-04-10;09:30;ambato
conferencias;Conferencia sobre Sostenibilidad Ambiental;Aprende sobre practicas sostenibles y como puedes contribuir a la conservacion del medio ambiente en nuestra conferencia sobre sostenibilidad ambiental.;conferencia-sostenibilidad.jpg;0;VERDADERO;2024-04-15;15:00;quito
deportes;Torneo de Futbol Juvenil;Participa en nuestro torneo de futbol juvenil y muestra tus habilidades en el campo! Diviertete y compite con equipos locales en un ambiente amistoso.;torneo-futbol-juvenil.jpg;0;VERDADERO;2024-04-20;14:00;guayaquil
arte-cultura;Noche de Cine al Aire Libre;Disfruta de una noche de cine bajo las estrellas en nuestro evento al aire libre. Trae tu manta y tus palomitas de maiz y disfruta de una pelicula en compania de amigos y familiares.;cine-aire-libre.jpg;0;VERDADERO;2024-04-25;20:00;manta
ferias-exposiciones;Feria de Artesanias Locales;Explora la diversidad de la artesania local en nuestra feria. Encuentra productos unicos y hechos a mano mientras apoyas a los artesanos de nuestra comunidad.;feria-artesanias.jpg;0;VERDADERO;2024-05-05;10:00;ambato
conciertos;Festival de Jazz en el Parque;Relajate y disfruta de la musica de jazz en nuestro festival anual en el parque. Escucha a talentosos musicos locales e internacionales en un entorno al aire libre.;festival-jazz-parque.jpg;0;VERDADERO;2024-05-10;18:30;quito
